id,招生单位,所在地,院系所,专业,学习方式,研究方向,拟招人数,政治,外语,业务课一,业务课二,考试方式,指导老师,备注
1154821002025100001,(11548)广西财经学院,(45)广西壮族自治区,(002)金融与保险学院,(025100)(专业学位)金融,全日制,(00)不区分研究方向,院系所：60(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,统考,,
1076621030025100071,(10766)新疆财经大学,(65)新疆维吾尔自治区,(030)金融学院,(025100)(专业学位)金融,全日制,(07)绿色金融,专业：56(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,
1067121002025100021,(10671)贵州财经大学,(52)贵州省,(002)大数据应用与经济学院（贵阳大数据金融学院）,(025100)(专业学位)金融,全日制,(02)金融投资与公司金融,专业：73(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,
1073621008025100031,(10736)西北师范大学,(62)甘肃省,(008)经济学院,(025100)(专业学位)金融,全日制,(03)资本市场,专业：50(不含推免),(101)思想政治理论,(202)俄语,(396)经济类综合能力,(431)金融学综合,统考,,不接收同等学力
1073621008025100011,(10736)西北师范大学,(62)甘肃省,(008)经济学院,(025100)(专业学位)金融,全日制,(01)商业银行管理,专业：50(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,不接收同等学力
1069121003025100001,(10691)云南民族大学,(53)云南省,(003)经济学院,(025100)(专业学位)金融,全日制,(00)不区分研究方向,专业：28(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,
1073621008025100041,(10736)西北师范大学,(62)甘肃省,(008)经济学院,(025100)(专业学位)金融,全日制,(04)金融风险管理,专业：50(不含推免),(101)思想政治理论,(203)日语,(396)经济类综合能力,(431)金融学综合,统考,,不接收同等学力
1059321030025100001,(10593)广西大学,(45)广西壮族自治区,(030)经济学院,(025100)(专业学位)金融,全日制,(00)不区分研究方向,专业：50(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,
1073621008025100041,(10736)西北师范大学,(62)甘肃省,(008)经济学院,(025100)(专业学位)金融,全日制,(04)金融风险管理,专业：50(不含推免),(101)思想政治理论,(202)俄语,(396)经济类综合能力,(431)金融学综合,统考,,不接收同等学力
1067321001025100001,(10673)云南大学,(53)云南省,(001)经济学院,(025100)(专业学位)金融,全日制,(00)不区分研究方向,专业：65(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,限本科毕业及以上学历。
1076621030025100051,(10766)新疆财经大学,(65)新疆维吾尔自治区,(030)金融学院,(025100)(专业学位)金融,全日制,(05)资本市场,专业：56(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,
1065721106025100001,(10657)贵州大学,(52)贵州省,(106)经济学院,(025100)(专业学位)金融,全日制,(00)不区分研究方向,研究方向：86(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,统考,,
1073621008025100031,(10736)西北师范大学,(62)甘肃省,(008)经济学院,(025100)(专业学位)金融,全日制,(03)资本市场,专业：50(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,不接收同等学力
1060821403025100001,(10608)广西民族大学,(45)广西壮族自治区,(403)经济学院,(025100)(专业学位)金融,全日制,(00)不区分研究方向,专业：50(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,入校后双向选择确定导师,
1058921017025100031,(10589)海南大学,(46)海南省,(017)经济学院,(025100)(专业学位)金融,全日制,(03)跨国投资与离岸金融,专业：21(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,
